ID,major_cat,general_cat,specific_cat,met_value
102,04 Caring for and Helping nonHH Members,04 Caring for nonHH Adults,03 Providing medical care services for nonHH adult,2.5
103,04 Caring for and Helping nonHH Members,04 Caring for nonHH Adults,04 Obtaining medical and care services for nonHH adult,1.5
104,04 Caring for and Helping nonHH Members,04 Caring for nonHH Adults,05 Waiting associated with caring for nonHH adults,1.3
105,04 Caring for and Helping nonHH Members,04 Caring for nonHH Adults,"99 Caring for nonHH adult, n.e.c.",2.16
106,04 Caring for and Helping nonHH Members,05 Helping nonHH Adults,"01 Housework, cooking, and shopping assistance for nonhh adults",2.38
107,04 Caring for and Helping nonHH Members,05 Helping nonHH Adults,02 House & lawn maintenance and repair assistance for nonhh adults,4.3
108,04 Caring for and Helping nonHH Members,05 Helping nonHH Adults,03 Animal and pet care assistance for nonHH adults,3
109,04 Caring for and Helping nonHH Members,05 Helping nonHH Adults,04 Vehicle & appliance maintenance/repair assistance for nonHH adults,3.33
110,04 Caring for and Helping nonHH Members,05 Helping nonHH Adults,05 Financial Management assistance for nonHH adults,1.8
111,04 Caring for and Helping nonHH Members,05 Helping nonHH Adults,06 HH management and paperwork assistance for nonhh adults,1.74
112,04 Caring for and Helping nonHH Members,05 Helping nonHH Adults,07 Picking up/dropping off nonHH adult,2
113,04 Caring for and Helping nonHH Members,05 Helping nonHH Adults,08 Waiting associated with helping nonHH adults,1.5
114,04 Caring for and Helping nonHH Members,05 Helping nonHH Adults,"99 Helping nonHH adults, n.e.c.",2.64
115,04 Caring for and Helping nonHH Members,99 Caring for and Helping nonHH Members,"99 Caring for and helping nonHH members, n.e.c.",2.18
116,06 Education,01 Taking classes,01 Taking classes: degree,1.82
117,06 Education,01 Taking classes,02 Taking classes: personal interest,2.4
118,06 Education,01 Taking classes,03 Waiting associated with taking classes,1.8
119,06 Education,01 Taking classes,04 Security procedures related to taking classes,2.33
120,06 Education,01 Taking classes,"99 Taking classes, n.e.c.",2.23
121,06 Education,02 Extracurricular School Activities (Except Sports),01 Extracurricular club activities,1.63
122,06 Education,02 Extracurricular School Activities (Except Sports),02 Extracurricular music and performance activities,2.5
123,06 Education,02 Extracurricular School Activities (Except Sports),03 Extracurricular student government activities,1.9
124,06 Education,02 Extracurricular School Activities (Except Sports),"99 Education-related extracurricular activities, n.e.c.",1.84
125,06 Education,03 Research/Homework,01 Research/homework: class for degree,1.8
126,06 Education,03 Research/Homework,02 Research/homework: class for personal interest,1.8
127,06 Education,03 Research/Homework,03 Waiting associated with research/homework,1
128,06 Education,03 Research/Homework,"99 Research/homework, n.e.c.",1.75
129,06 Education,04 Registration/Administrative activities,01 Administrative activities: class for degree,1.9
130,06 Education,04 Registration/Administrative activities,02 Administrative activities: class for personal interest,2
131,06 Education,04 Registration/Administrative activities,03 Waiting associated with administrative activities (education),2
132,06 Education,04 Registration/Administrative activities,"99 Administrative for education, n.e.c.",1.96
133,06 Education,"99 Education, n.e.c.","99 Education, n.e.c.",2.02
134,07 Consumer Purchases,"01 Shopping (Store, Telephone, Internet)",01 Grocery shopping,2.1
135,07 Consumer Purchases,"01 Shopping (Store, Telephone, Internet)",02 Purchasing gas,2.1
136,07 Consumer Purchases,"01 Shopping (Store, Telephone, Internet)",03 Purchasing food (not groceries),2.33
137,07 Consumer Purchases,"01 Shopping (Store, Telephone, Internet)","04 Shopping, except groceries, food, and gas",2.21
138,07 Consumer Purchases,"01 Shopping (Store, Telephone, Internet)",05 Waiting associated with shopping,1.2
139,07 Consumer Purchases,"01 Shopping (Store, Telephone, Internet)","99 Shopping, n.e.c.",2.16
140,07 Consumer Purchases,02 Researching Purchases,01 Comparison shopping,1.9
141,07 Consumer Purchases,02 Researching Purchases,"99 Researching purchases, n.e.c.",1.9
142,07 Consumer Purchases,03 Security Procedures Related to Consumer Purchases,01 Security procedures related to consumer purchases,2.33
143,07 Consumer Purchases,03 Security Procedures Related to Consumer Purchases,"99 Security procedures related to consumer purchases, n.e.c.",2.33
144,07 Consumer Purchases,"99 Consumer Purchases, n.e.c.","99 Consumer purchases, n.e.c.",2.15
145,08 Professional and Personal Care Services,01 Childcare Services,01 Using paid childcare services,1.91
146,08 Professional and Personal Care Services,01 Childcare Services,02 Waiting associated with purchasing childcare services,1.3
147,08 Professional and Personal Care Services,01 Childcare Services,"99 Using paid childcare services, n.e.c.",1.86
148,08 Professional and Personal Care Services,02 Financial Services and Banking,01 Banking,1.84
149,08 Professional and Personal Care Services,02 Financial Services and Banking,02 Using other financial services,1.53
150,08 Professional and Personal Care Services,02 Financial Services and Banking,03 Waiting associated with banking/financial services,1.2
151,08 Professional and Personal Care Services,02 Financial Services and Banking,"99 Using financial services and banking, n.e.c.",1.67
152,08 Professional and Personal Care Services,03 Legal Services,01 Using legal services,1.65
153,08 Professional and Personal Care Services,03 Legal Services,02 Waiting associated with legal services,1.3
154,08 Professional and Personal Care Services,03 Legal Services,"99 Using legal services, n.e.c.",1.6
155,08 Professional and Personal Care Services,04 Medical and Care Services,01 Using health and care services outside the home,1.5
156,08 Professional and Personal Care Services,04 Medical and Care Services,02 Using in-home health and care services,1.5
157,08 Professional and Personal Care Services,04 Medical and Care Services,03 Waiting associated with medical services,1.8
158,08 Professional and Personal Care Services,04 Medical and Care Services,"99 Using medical services, n.e.c.",1.53
159,08 Professional and Personal Care Services,05 Personal Care Services,01 Using personal care services,1.18
160,08 Professional and Personal Care Services,05 Personal Care Services,02 Waiting associated with personal care services,1.3
161,08 Professional and Personal Care Services,05 Personal Care Services,"99 Using personal care services, n.e.c.",1.19
162,08 Professional and Personal Care Services,06 Real Estate,01 Activities related to purchasing/selling real estate,2.02
163,08 Professional and Personal Care Services,06 Real Estate,02 Waiting associated with purchasing/selling real estate,1.3
164,08 Professional and Personal Care Services,06 Real Estate,"99 Using real estate services, n.e.c.",1.98
165,08 Professional and Personal Care Services,07 Veterinary Services (excluding grooming),01 Using veterinary services,1.84
166,08 Professional and Personal Care Services,07 Veterinary Services (excluding grooming),02 Waiting associated with veterinary services,1.3
167,08 Professional and Personal Care Services,07 Veterinary Services (excluding grooming),"99 Using veterinary services, n.e.c.",1.75
168,08 Professional and Personal Care Services,08 Security Procedures Related to Professional/Personal Services,01 Security procedures related to professional/personal services,2.33
169,08 Professional and Personal Care Services,08 Security Procedures Related to Professional/Personal Services,"99 Security procedures related to professional/personal services, n.e.c.",2.33
170,08 Professional and Personal Care Services,"99 Professional and Personal Services, n.e.c.","99 Professional and personal services, n.e.c.",1.68
171,09 HH Services,01 HH Services (not done by self),01 Using interior cleaning services,1.56
172,09 HH Services,01 HH Services (not done by self),02 Using meal preparation services,1.62
173,09 HH Services,01 HH Services (not done by self),03 Using clothing repair and cleaning services,2
174,09 HH Services,01 HH Services (not done by self),04 Waiting associated with using HH services,1.53
175,09 HH Services,01 HH Services (not done by self),"99 Using HH services, n.e.c.",1.7
176,09 HH Services,"02 Home Maintenance, Repair, Decoration, and Construction (not done by self)","01 Using home maintenance, repair, decoration, and construction services",1.54
177,09 HH Services,"02 Home Maintenance, Repair, Decoration, and Construction (not done by self)",02 Waiting associated with home maintenance/repair/decoration/construction,1.65
178,09 HH Services,"02 Home Maintenance, Repair, Decoration, and Construction (not done by self)","99 Using home maintenance, repair, decoration, construction svcs, n.e.c.",1.55
179,09 HH Services,"03 Pet Services (not done by self, not vet)",01 Using pet services,1.66
180,09 HH Services,"03 Pet Services (not done by self, not vet)",02 Waiting associated with pet services,1.77
181,09 HH Services,"03 Pet Services (not done by self, not vet)","99 Using pet services, n.e.c.",1.68
182,09 HH Services,04 Lawn and Garden Services (not done by self),01 Using lawn and garden services,1.5
183,09 HH Services,04 Lawn and Garden Services (not done by self),02 Waiting associated with using lawn and garden services,1.3
184,09 HH Services,04 Lawn and Garden Services (not done by self),"99 Using lawn and garden services, n.e.c.",1.47
185,09 HH Services,05 Vehicle Maintenance and Repair Services (not done by self),01 Using vehicle maintenance or repair services,1.75
186,09 HH Services,05 Vehicle Maintenance and Repair Services (not done by self),02 Waiting associated with vehicle maintenance or repair services,1.53
187,09 HH Services,05 Vehicle Maintenance and Repair Services (not done by self),"99 Using vehicle maintenance and repair services, n.e.c.",1.68
188,09 HH Services,"99 HH Services, n.e.c.","99 Using HH services, n.e.c.",1.61
189,10 Government Services and Civic Obligations,01 Using Government Services,01 Using police and fire services,1.72
190,10 Government Services and Civic Obligations,01 Using Government Services,02 Using social services,1.71
191,10 Government Services and Civic Obligations,01 Using Government Services,"03 Obtaining licenses and paying fines, fees, taxes",1.87
192,10 Government Services and Civic Obligations,01 Using Government Services,"99 Using government services, n.e.c.",1.78
193,10 Government Services and Civic Obligations,02 Civic Obligations and Participation,01 Civic obligations and participation,1.65
194,10 Government Services and Civic Obligations,02 Civic Obligations and Participation,"99 Civic obligations and participation, n.e.c.",1.65
195,10 Government Services and Civic Obligations,03 Waiting Associated with Government Services or Civic Obligations,01 Waiting associated with using police/fire services,2
196,10 Government Services and Civic Obligations,03 Waiting Associated with Government Services or Civic Obligations,02 Waiting associated with obtaining licenses,2
197,10 Government Services and Civic Obligations,03 Waiting Associated with Government Services or Civic Obligations,03 Waiting associated with civic obligations and participation,2
198,10 Government Services and Civic Obligations,03 Waiting Associated with Government Services or Civic Obligations,"99 Waiting associated with government services or civic obligations, n.e.c.",2
199,10 Government Services and Civic Obligations,04 Security Procedures Related to Government Services/Civic Obligations,01 Security procedures related to government services/civic obligations,2.33
200,10 Government Services and Civic Obligations,04 Security Procedures Related to Government Services/Civic Obligations,"99 Security procedures related to government services/civic obligations, n.e.c.",2.33
201,10 Government Services and Civic Obligations,"99 Government Services, n.e.c.","99 Government services, n.e.c.",1.78
202,11 Eating and Drinking,01 Eating and Drinking,01 Eating and drinking,1.5
203,11 Eating and Drinking,01 Eating and Drinking,"99 Eating and drinking, n.e.c.",1.5
204,11 Eating and Drinking,02 Waiting associated with eating and drinking,01 Waiting associated with eating and drinking at home,2
205,11 Eating and Drinking,02 Waiting associated with eating and drinking,02 Waiting assoc. w/eating and drinking at restaurant/bar/place of purchase,1.67
206,11 Eating and Drinking,02 Waiting associated with eating and drinking,03 Waiting associated with eating and drinking in transit,1
207,11 Eating and Drinking,02 Waiting associated with eating and drinking,04 Elsewhere (same as 110299),1.67
208,11 Eating and Drinking,02 Waiting associated with eating and drinking,99 Elsewhere (same as 110204),1.67
209,11 Eating and Drinking,99 Waiting associated with eating and drinking,"99 Eating and drinking, n.e.c.",1.83
210,"12 Socializing, Relaxing and Leisure",01 Socializing and Communicating,01 Socializing and communicating with others,1.5
211,"12 Socializing, Relaxing and Leisure",01 Socializing and Communicating,"99 Socializing and communicating, n.e.c.",1.5
212,"12 Socializing, Relaxing and Leisure",02 Attending or Hosting Social Events,01 Attending or hosting parties/receptions/ceremonies,1.86
213,"12 Socializing, Relaxing and Leisure",02 Attending or Hosting Social Events,02 Attending meetings for personal interest (not volunteering),1.5
214,"12 Socializing, Relaxing and Leisure",02 Attending or Hosting Social Events,"99 Attending/hosting social events, n.e.c.",1.64
215,"12 Socializing, Relaxing and Leisure",03 Relaxing and Leisure,"01 Relaxing, thinking",1.21
216,"12 Socializing, Relaxing and Leisure",03 Relaxing and Leisure,02 Tobacco and drug use,1.13
217,"12 Socializing, Relaxing and Leisure",03 Relaxing and Leisure,03 Television and movies (not religious),1.33
218,"12 Socializing, Relaxing and Leisure",03 Relaxing and Leisure,04 Television (religious),1
219,"12 Socializing, Relaxing and Leisure",03 Relaxing and Leisure,05 Listening to the radio,1.15
220,"12 Socializing, Relaxing and Leisure",03 Relaxing and Leisure,06 Listening to/playing music (not radio),1.38
221,"12 Socializing, Relaxing and Leisure",03 Relaxing and Leisure,07 Playing games,1.5
222,"12 Socializing, Relaxing and Leisure",03 Relaxing and Leisure,08 Computer use for leisure (except games),1.9
223,"12 Socializing, Relaxing and Leisure",03 Relaxing and Leisure,09 Arts and crafts as a hobby,2.18
224,"12 Socializing, Relaxing and Leisure",03 Relaxing and Leisure,10 Collecting as a hobby,1.7
225,"12 Socializing, Relaxing and Leisure",03 Relaxing and Leisure,"11 Hobbies, except arts and crafts and collecting",2.15
226,"12 Socializing, Relaxing and Leisure",03 Relaxing and Leisure,12 Reading for personal interest,1.6
227,"12 Socializing, Relaxing and Leisure",03 Relaxing and Leisure,13 Writing for personal interest,1.8
228,"12 Socializing, Relaxing and Leisure",03 Relaxing and Leisure,"99 Relaxing and leisure, n.e.c.",1.54
229,"12 Socializing, Relaxing and Leisure",04 Arts and Entertainment (other than sports),01 Attending performing arts,1.5
230,"12 Socializing, Relaxing and Leisure",04 Arts and Entertainment (other than sports),02 Attending museums,2.1
231,"12 Socializing, Relaxing and Leisure",04 Arts and Entertainment (other than sports),03 Attending movies/film,2.1
232,"12 Socializing, Relaxing and Leisure",04 Arts and Entertainment (other than sports),04 Attending gambling establishments,2.3
233,"12 Socializing, Relaxing and Leisure",04 Arts and Entertainment (other than sports),05 Security procedures related to arts and entertainment,2.33
234,"12 Socializing, Relaxing and Leisure",04 Arts and Entertainment (other than sports),"99 Arts and entertainment, n.e.c.",1.63
235,"12 Socializing, Relaxing and Leisure","05 Waiting associated with socializing, relaxing and leisure",01 Waiting associated with socializing and communicating,1.3
236,"12 Socializing, Relaxing and Leisure","05 Waiting associated with socializing, relaxing and leisure",02 Waiting associated with attending/hosting social events,1.3
237,"12 Socializing, Relaxing and Leisure","05 Waiting associated with socializing, relaxing and leisure",03 Waiting associated with relaxing/leisure,1.3
238,"12 Socializing, Relaxing and Leisure","05 Waiting associated with socializing, relaxing and leisure",04 Waiting associated with arts and entertainment,1.3
239,"12 Socializing, Relaxing and Leisure","05 Waiting associated with socializing, relaxing and leisure","99 Waiting associated with socializing, n.e.c.",1.3
240,"12 Socializing, Relaxing and Leisure","99 Socializing, Relaxing and Leisure, n.e.c.","99 Socializing, relaxing, and leisure, n.e.c.",1.62
241,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",01 Doing Aerobics,6.83
242,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",02 Playing baseball,5
243,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",03 Playing basketball,8
244,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",04 Biking,8
245,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",05 Playing billiards,2.5
246,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",06 Boating,4.64
247,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",07 Bowling,3
248,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation","08 Climbing, spelunking, caving",9.5
249,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",09 Dancing,4.5
250,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",10 Participating in equestrian sports,5.33
251,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",11 Fencing,6
252,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",12 Fishing,4.5
253,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",13 Playing football,8
254,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",14 Golfing,3.75
255,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",15 Doing Gymnastics,4
256,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",16 Hiking,6
257,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",17 Playing hockey,8
258,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",18 Hunting,4.5
259,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",19 Participating in martial arts,10
260,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",20 Playing racquet sports,8.5
261,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",21 Participating in rodeo competitions,6
262,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",22 Rollerblading,6
263,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",23 Playing rugby,10
264,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",24 Running,7.5
265,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation","25 Skiing, ice skating, snowboarding",7
266,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",26 Playing soccer,7
267,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",27 Softball,5
268,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",28 Using cardiovascular equipment,8
269,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",29 Vehicle touring/racing,3.3
270,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",30 Playing volleyball,5.5
271,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",31 Walking,3.8
272,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",32 Participating in water sports,5.22
273,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",33 Weightlifting/strength training,3
274,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation","34 Working out, unspecified",2.5
275,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",35 Wrestling,6
276,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation",36 Doing yoga,3
277,"13 Sports, Exercise, and Recreation","01 Participating in Sports, Exercise, or Recreation","99 Playing sports, n.e.c.",5.1
278,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,01 Watching aerobics,1.5
279,13 Attending Sporting/Recreational Events,02 Attending Sporting/Recreational Events,02 Watching baseball,1.5
